0, 190744, 351;
1, 409752, 352;
2, 144866, 352;
3, 144866, 352;
4, 144866, 352;
5, 144866, 352;
6, 144866, 352;
7, 176506, 352;
8, 188415, 352;
9, 70389, 352;
10, 160686, 352;
11, 160686, 352;
12, 70389, 352;
13, 70389, 352;
14, 160686, 352;
15, 160686, 352;
16, 70389, 352;
17, 40689, 352;
18, 90882, 352;
19, 72930, 352;
20, 71240, 352;
21, 72020, 352;
22, 76452, 352;
23, 111642, 352;
24, 76452, 352;
25, 76452, 352;
26, 76452, 352;
27, 76452, 352;
28, 76452, 352;
29, 76452, 352;
30, 108054, 352;
31, 108054, 352;
32, 100775, 352;
33, 100775, 352;
34, 87725, 352;
35, 94250, 352;
36, 87725, 352;
37, 90875, 352;
38, 90875, 352;
39, 90875, 352;
40, 91648, 352;
41, 93056, 352;
42, 91648, 352;
43, 93056, 352;
44, 93056, 352;
45, 91648, 352;
46, 93056, 352;
47, 93056, 352;
48, 91648, 352;
49, 91648, 352;
50, 91648, 352;
51, 91648, 352;
52, 90880, 352;
53, 91264, 352;
54, 91264, 352;
55, 91264, 352;
56, 91264, 352;
57, 91264, 352;
58, 91264, 352;
59, 57216, 352;
60, 74240, 352;
61, 74240, 352;
62, 93952, 352;
63, 74240, 352;
64, 77056, 352;
65, 74240, 352;
66, 84096, 352;
67, 59840, 352;
68, 71400, 352;
69, 71400, 352;
70, 68425, 352;
71, 69139, 352;
72, 68425, 352;
73, 74613, 352;
74, 71876, 352;
75, 68901, 352;
76, 96693, 352;
77, 96693, 352;
78, 68901, 352;
79, 68901, 352;
80, 68901, 352;
81, 68901, 352;
82, 68901, 352;
83, 68901, 352;
84, 68901, 352;
85, 68901, 352;
86, 78897, 352;
87, 68901, 352;
88, 58374, 352;
89, 58374, 352;
90, 83895, 352;
91, 73899, 352;
92, 73899, 352;
93, 73899, 352;
94, 73899, 352;
95, 136710, 352;
96, 91287, 352;
97, 113925, 352;
98, 113925, 352;
99, 113925, 352;
